Group 	 Lab 	 Cell-line 	 Tf 	 Protocol 	 Replication 	 File-Type 
Encode 	 Haib 	 Gm12878 	 Atf3 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Atf3 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Creb1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Creb1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Creb1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Egr1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Yy1 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Yy1 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Sp1 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Sp1 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Sp1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 Gm12878 	 Sp1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Atf3 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Atf3 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Ctcf 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Ctcf 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Creb1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Creb1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Egr1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Egr1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Yy1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Yy1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Sp1 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Sp1 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Max 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Max 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Jund 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 H1hesc 	 Jund 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Atf3 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Atf3 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Ctcf 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Ctcf 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Creb1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Creb1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Egr1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Egr1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Yy1 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Yy1 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Sp1 	 Pcr1x 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Sp1 	 Pcr1x 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Max 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Max 	 V0 	 Rep2 	 broadPeak 
Encode 	 Haib 	 K562 	 Max 	 V0 	 Rep1 	 broadPeak 
Encode 	 Haib 	 K562 	 Max 	 V0 	 Rep2 	 broadPeak 
Encode 	 Sydh 	 Gm12878 	 Ctcf 	 Std 	 single 	 narrowPeak 
Encode 	 Open 	 Gm12878 	 Cmyc 	 Std 	 single 	 narrowPeak 
Encode 	 Sydh 	 Gm12878 	 Max 	 Iggmus 	 single 	 narrowPeak 
Encode 	 Sydh 	 Gm12878 	 Jund 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 Gm12878 	 Jund 	 Std 	 single 	 narrowPeak 
Encode 	 Sydh 	 Gm12878 	 Nrf1 	 Iggmus 	 single 	 narrowPeak 
Encode 	 Sydh 	 Gm12878 	 Tbp 	 Iggmus 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Cmyc 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Max 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Jund 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Nrf1 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Tbp 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 H1hesc 	 Tbp 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Ctcf 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Cmyc 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Max 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Max 	 Std 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Jund 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Nrf1 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Tbp 	 Iggmus 	 single 	 narrowPeak 
Encode 	 Sydh 	 K562 	 Tbp 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Open 	 Gm12878 	 Cmyc 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Open 	 H1hesc 	 Cmyc 	 Iggrab 	 single 	 narrowPeak 
Encode 	 Open 	 K562 	 Cmyc 	 Iggrab 	 single 	 narrowPeak 
